CODTOPOCIMO3|CODMORPHOCIMO3|CUI_UMLS
C619|80003|C0376358
C620|80003|C0153595
C621|80003|C0348906
C629|80003|C0153594
C630|80003|C0153602
C631|80003|C0153603
C632|80003|C0153604
C637|80003|C0348368
C638|80003|C0348369
C639|80003|C0153606
C649|80003|C0494158
C659|80003|C0153618
C669|80003|C0153619
C670|80003|C0496826
C671|80003|C0496827
C672|80003|C0496828
C673|80003|C0153611
C674|80003|C0153612
C675|80003|C0153613
C676|80003|C0153614
C677|80003|C0153615
C678|80003|C0349054
C679|80003|C0005684
C680|80003|C0153620
C681|80003|C0153621
C688|80003|C0349055
C689|80003|C0348371
C690|80003|C0153628
C691|80003|C0153629
C692|80003|C0024622
C693|80003|C0153630
C694|80003|C0496833
C695|80003|C0496834
C696|80003|C0153626
C698|80003|C1533639
C699|80003|C0496836
C700|80003|C0153645
C701|80003|C0153647
C709|80003|C0348375
C710|80003|C0153634
C711|80003|C0153635
C712|80003|C0153636
C713|80003|C0153637
C714|80003|C0153638
C715|80003|C0346906
C716|80003|C0153640
C717|80003|C0153641
C718|80003|C0496837
C719|80003|C0153633
C720|80003|C0153646
C721|80003|C0349017
C722|80003|C0496838
C723|80003|C0346323
C724|80003|C0346331
C725|80003|C0348373
C728|80003|C0496839
C729|80003|C0348374
C739|80003|C0007115
C740|80003|C0346402
C741|80003|C0344456
C749|80003|C0750887
C750|80003|C0153653
C751|80003|C0496842
C752|80003|C0496843
C753|80003|C0153655
C754|80003|C0153656
C755|80003|C0438413
C758|80003|C0348378
C759|80003|C0153658
C760|80003|C0153660
C761|80003|C0153661
C762|80003|C0153662
C763|80003|C0153663
C764|80003|C0153664
C765|80003|C0153665
C767|80003|C0153659
C768|80003|C0348381
C779|80003|C0686619
C770|80006|C0153668
C771|80006|C0686645
C772|80006|C0686655
C773|80006|C0153671
C774|80006|C0347055
C775|80006|C0686689
C778|80006|C0348382
C779|80006|C0686619
C809|80003|C0153675
C349|80006|C0153676
C383|80006|C0153677
C384|80006|C0153678
C399|80006|C0348383
C179|80006|C0494164
C260|80006|C0153681
C488|80006|C0036528
C220|80006|C0494165
C260|80006|C0348384
C689|80006|C0494167
C689|80006|C0153686
C449|80006|C0153687
C719|80006|C0494168
C729|80006|C0348385
C419|80006|C0153690
C569|80006|C0022790
C749|80006|C0153691
C809|80006|C0153684
C809|80003|C0006826
C809|80003|
C809|96513|C1266194
C809|96633|C0152268
C809|96523|C0152266
C809|96533|C0152267
C809|96503|C0348387
C809|96503|C0019829
C809|96953|C0079765
C809|96913|C0079758
C809|96983|
C809|96993|C0348388
C809|96903|C0024301
C809|96703|C0334645
C809|95913|C0024305
C809|96753|C0334621
C809|96803|C0079744
C809|96843|C0079746
C809|97273|C0079748
C809|95913|C0024306
C809|96873|C0006413
C809|95913|C0348389
C809|95913|C0348394
C809|97003|C0026948
C809|97013|C0036920
C809|97023|C0334655
C809|97093|C1621719
C809|97023|C0079774
C809|95913|C0494171
C809|95913|C0079734
C809|95913|C0348396
C809|95913|C0348390
C809|95913|C0024305
C809|97613|C0024419
C809|97623|C0021071
C809|97623|C0018854
C809|97643|C0021071
C809|97603|C0348391
C809|97603|C1264191
C809|97323|C0026764
C809|97333|C0023484
C809|97313|C0278619
C809|98353|C0023449
C809|98233|C0023434
C809|98203|C0152271
C809|98323|C0023486
C809|99403|C0023443
C809|98273|C0023493
C809|98203|C0029660
C809|98203|C0023448
C809|98613|C0023467
C809|98633|C0023473
C809|98603|C0349640
C809|99303|C0152276
C809|98663|C0023487
C809|98673|C0023479
C809|98603|C0029670
C809|98603|C0023470
C809|98913|C0023465
C809|99453|C0023466
C809|98603|C0152275
C809|98602|C0153903
C809|98603|C0598894
C809|98403|C0001317
C809|99503|C0152272
C809|99103|C0023462
C809|97423|C0023461
C809|99313|C0334674
